customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.01,6604.87,No
CUST-0002,Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,40.45,1503.19,No
CUST-0003,Male,0,Yes,No,50,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),88.76,4443.54,No
CUST-0004,Male,0,Yes,No,36,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,54.93,2020.98,No
CUST-0005,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),71.18,3903.24,No
CUST-0006,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.39,718.22,No
CUST-0007,Male,1,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),23.74,499.94,No
CUST-0008,Male,0,No,No,52,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,70.03,3880.02,No
CUST-0009,Male,1,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),105.44,1260.17,Yes
CUST-0010,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),78.8,3908.95,No
CUST-0011,Male,0,No,Yes,16,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,47.69,743.84,No
CUST-0012,Male,0,No,No,63,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.77,3705.49,No
CUST-0013,Male,1,No,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,88.03,3531.15,Yes
CUST-0014,Male,1,Yes,No,28,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,109.08,3005.41,No
CUST-0015,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),24.11,228.7,No
CUST-0016,Male,0,Yes,No,10,Yes,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,27.15,199.01,Yes
CUST-0017,Female,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,52.51,2516.95,No
CUST-0018,Female,0,No,No,70,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),43.28,3012.06,No
CUST-0019,Female,1,Yes,No,57,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,46.49,2663.11,No
CUST-0020,Male,0,No,No,33,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,42.13,1426.54,No
CUST-0021,Female,0,Yes,No,19,No,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),39.58,750.53,No
CUST-0022,Male,0,No,Yes,49,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),33.06,1561.8,No
CUST-0023,Female,1,Yes,Yes,9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,113.4,824.26,No
CUST-0024,Female,0,Yes,No,31,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),34.42,1009.49,No
CUST-0025,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,40.44,1965.19,No
CUST-0026,Female,0,Yes,Yes,14,Yes,No,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,44.63,671.43,Yes
CUST-0027,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),113.3,317.53,Yes
CUST-0028,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.57,3534.38,No
CUST-0029,Female,0,No,Yes,39,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.97,3935.53,No
CUST-0030,Female,1,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.48,2150.73,No
